cid,cierre,apertura
65,2014-07-05 14:21:38,2014-07-13 01:14:38
66,2014-03-14 15:07:05,2014-03-27 07:30:16
67,2015-02-02 17:53:30,2015-02-16 22:33:14
68,2011-01-22 03:12:51,2011-02-05 03:51:32
69,2013-11-11 11:55:36,2013-11-21 15:14:50
70,2016-03-02 01:03:44,2016-03-13 11:41:10
71,2020-06-26 04:30:06,2020-07-08 09:40:24
72,2020-01-09 21:48:14,2020-01-24 00:42:51
73,2010-04-04 15:24:21,2010-04-12 02:21:46
74,2018-03-01 14:19:31,2018-03-05 20:28:51
75,2019-02-04 07:46:10,2019-02-14 15:40:12
76,2010-09-23 20:03:35,2010-10-05 21:19:35
77,2014-08-27 20:53:02,2014-09-11 11:39:41
78,2014-07-20 09:25:35,2014-07-31 17:54:34
79,2017-05-07 03:25:20,2017-05-12 10:24:37
80,2017-02-25 13:29:20,2017-03-03 19:13:01
81,2018-12-05 10:35:35,2018-12-17 02:14:59
82,2014-02-16 11:27:20,2014-02-27 17:57:53
83,2017-06-15 04:15:58,2017-06-20 10:32:32
84,2010-12-03 21:24:38,2010-12-12 09:57:40
85,2014-11-03 04:31:43,2014-11-10 16:20:01
86,2012-04-30 14:56:28,2012-05-15 05:18:06
87,2010-02-19 23:24:50,2010-03-01 10:57:43
88,2017-12-15 03:46:22,2017-12-28 15:01:45
89,2010-11-29 20:27:07,2010-12-10 10:12:28
90,2011-07-16 00:49:01,2011-07-24 08:23:59
91,2012-05-20 02:22:57,2012-06-03 18:12:24
92,2019-06-13 18:41:26,2019-06-24 20:24:44
93,2015-05-04 21:59:23,2015-05-14 00:39:19
94,2014-06-23 05:21:14,2014-07-06 10:47:44
95,2018-05-08 14:35:34,2018-05-18 16:58:51
96,2018-01-05 23:05:18,2018-01-10 11:42:17
97,2020-04-01 09:08:39,2020-04-13 21:50:07
98,2020-08-26 02:20:07,2020-09-08 02:51:24
99,2011-09-22 20:16:46,2011-10-05 06:17:17
100,2015-11-19 21:54:13,2015-11-26 11:47:18
101,2012-09-11 15:16:44,2012-09-17 22:16:10
102,2012-06-24 23:02:20,2012-07-02 10:07:09
103,2018-09-30 06:59:54,2018-10-08 11:57:07
104,2017-08-03 21:00:40,2017-08-18 03:56:38
105,2019-11-13 17:12:01,2019-11-18 07:10:29
106,2020-06-03 00:37:25,2020-06-17 09:05:51
107,2013-11-19 16:55:12,2013-11-23 05:19:10
108,2019-05-19 07:22:15,2019-05-27 15:02:13
109,2013-08-25 20:10:03,2013-08-29 09:48:20
110,2019-04-15 15:08:21,2019-04-20 23:26:36
111,2014-03-03 00:02:20,2014-03-06 01:50:44
112,2014-12-06 18:52:03,2014-12-19 03:00:09
113,2011-06-16 19:20:46,2011-06-29 07:19:08
114,2015-06-04 00:06:55,2015-06-09 10:29:04
115,2019-12-17 23:16:28,2019-12-21 03:58:06
116,2018-05-22 17:23:02,2018-05-28 18:59:32
117,2016-03-27 17:36:50,2016-04-06 06:42:48
118,2018-02-01 09:05:36,2018-02-08 21:19:23
119,2010-10-23 01:43:45,2010-11-04 09:35:47
120,2018-04-13 00:42:13,2018-04-25 14:12:03
121,2013-05-08 06:07:59,2013-05-12 19:55:11
122,2018-01-23 08:23:14,2018-02-06 23:44:48
123,2011-11-28 13:26:20,2011-12-04 23:45:18
124,2014-08-29 04:47:29,2014-09-01 08:00:18
125,2011-09-08 17:14:32,2011-09-22 22:16:03
126,2017-06-01 08:29:37,2017-06-11 21:48:20
127,2014-08-12 02:56:52,2014-08-24 05:57:47
128,2011-08-14 15:58:33,2011-08-29 06:34:33
129,2018-08-19 14:19:19,2018-08-29 15:46:14
130,2014-04-13 12:56:02,2014-04-26 16:13:03
131,2016-07-07 15:33:41,2016-07-18 21:55:26
132,2017-08-16 09:10:23,2017-08-23 20:38:11
133,2012-11-17 08:57:36,2012-11-27 14:39:38
134,2012-04-21 05:10:58,2012-04-27 08:25:14
135,2015-05-29 22:31:00,2015-06-05 11:45:47
136,2012-06-15 19:13:48,2012-06-27 05:53:51
137,2011-09-01 00:18:48,2011-09-06 04:32:29
138,2020-02-04 20:31:58,2020-02-08 10:44:27
139,2010-01-31 12:52:54,2010-02-12 20:18:02
140,2012-06-01 19:01:50,2012-06-10 03:58:49
141,2010-06-17 00:03:32,2010-06-28 03:33:01
142,2019-01-11 20:23:52,2019-01-15 11:57:45
143,2017-05-03 18:17:16,2017-05-13 03:00:56
144,2016-09-07 17:10:20,2016-09-21 05:11:26
145,2018-08-18 00:24:03,2018-08-27 01:52:54
146,2012-05-25 04:04:30,2012-05-28 07:06:07
147,2011-10-11 09:27:17,2011-10-20 18:44:49
148,2013-03-10 00:56:38,2013-03-18 09:07:58
149,2014-04-16 21:15:06,2014-04-21 07:01:32
150,2018-06-05 06:22:02,2018-06-09 20:41:09
151,2010-08-25 00:28:23,2010-09-06 13:44:50
152,2014-05-07 22:39:22,2014-05-12 07:30:46
153,2010-12-29 17:57:35,2011-01-08 20:02:49
154,2020-04-12 11:23:39,2020-04-24 16:51:24
155,2014-12-07 13:26:52,2014-12-14 19:21:02
156,2010-12-13 15:37:33,2010-12-25 04:30:27
157,2010-02-17 15:41:54,2010-03-01 03:22:06
158,2017-01-13 08:02:29,2017-01-21 13:51:44
159,2014-04-07 11:02:21,2014-04-17 22:46:26
160,2019-02-01 22:33:47,2019-02-09 08:10:59
161,2013-03-20 01:16:54,2013-03-23 07:29:52
162,2012-06-06 10:19:42,2012-06-20 21:47:58
163,2012-04-26 23:14:48,2012-05-08 11:38:02
164,2016-06-14 18:23:03,2016-06-27 06:09:04
165,2020-03-29 14:20:08,2020-04-05 18:18:44
166,2014-01-31 10:05:54,2014-02-13 13:26:36
167,2016-05-06 17:22:34,2016-05-16 06:57:50
168,2013-03-24 01:22:38,2013-04-04 10:41:23
169,2015-04-17 11:27:22,2015-04-30 22:35:50
170,2018-11-07 02:05:50,2018-11-17 09:23:38
171,2011-10-09 02:29:22,2011-10-17 03:32:55
172,2014-12-18 11:53:34,2014-12-28 22:25:13
173,2012-12-16 10:47:41,2012-12-21 20:00:12
174,2015-02-27 16:45:29,2015-03-05 01:31:46
175,2017-03-04 06:04:46,2017-03-15 12:12:35
176,2011-03-07 10:32:36,2011-03-18 00:38:20
177,2018-04-04 06:29:09,2018-04-15 12:16:38
178,2015-07-14 00:07:57,2015-07-18 09:49:54
179,2019-01-19 18:05:49,2019-01-27 05:07:12
180,2015-05-22 08:12:58,2015-05-27 14:58:18
181,2019-05-31 12:59:19,2019-06-11 05:11:22
182,2020-03-09 13:13:42,2020-03-19 19:28:17
183,2011-12-22 11:09:53,2012-01-04 00:36:01
184,2011-11-03 14:19:40,2011-11-08 22:31:41
185,2016-05-22 02:38:32,2016-05-30 06:35:53
186,2016-10-18 03:14:06,2016-10-31 15:43:14
187,2014-08-17 19:30:43,2014-08-28 20:33:23
188,2012-09-29 21:59:27,2012-10-09 03:19:26
189,2014-12-02 06:08:39,2014-12-06 08:40:48
190,2019-01-11 09:58:22,2019-01-25 13:53:32
191,2020-05-24 00:38:01,2020-05-30 06:17:43
192,2013-05-01 22:04:40,2013-05-05 12:58:38
193,2020-04-25 20:39:28,2020-05-07 22:16:55
194,2014-06-16 01:56:36,2014-06-19 13:53:35
195,2018-06-10 02:19:01,2018-06-17 18:48:24
196,2015-08-24 12:07:53,2015-08-30 14:06:10
197,2020-02-09 02:49:03,2020-02-16 18:45:39
198,2011-06-23 13:43:04,2011-07-02 18:58:47
199,2020-08-27 15:42:57,2020-09-06 18:04:59
200,2019-07-06 20:57:18,2019-07-18 03:41:39
201,2011-08-23 06:30:26,2011-09-05 11:11:51
202,2014-01-02 23:39:42,2014-01-11 10:22:14
203,2011-02-21 21:38:23,2011-03-06 12:01:30
204,2015-12-03 03:29:17,2015-12-16 06:11:27
205,2010-04-13 01:07:21,2010-04-23 05:27:10
206,2011-10-16 17:57:22,2011-10-24 07:56:01
207,2010-03-20 14:07:18,2010-04-02 23:46:59
208,2015-10-14 18:01:02,2015-10-27 04:07:38
209,2012-01-09 17:12:40,2012-01-13 01:32:06
210,2010-12-27 21:18:37,2011-01-10 08:49:35
211,2011-04-19 21:54:39,2011-05-02 09:49:12
212,2012-06-13 03:05:22,2012-06-26 06:44:42
213,2014-05-29 00:05:08,2014-06-06 05:14:57
214,2018-09-04 15:29:20,2018-09-15 03:54:37
215,2013-05-13 03:03:23,2013-05-20 18:17:22
216,2017-08-20 15:35:08,2017-08-31 19:26:55
217,2019-03-09 12:51:45,2019-03-13 13:10:26
218,2018-12-19 08:05:28,2018-12-31 23:43:52
219,2019-06-04 22:17:48,2019-06-10 10:05:54
220,2013-02-19 21:47:09,2013-03-06 13:46:33
221,2013-07-26 16:20:34,2013-07-29 19:53:25
222,2010-11-12 06:17:38,2010-11-24 07:40:19
223,2017-08-25 10:06:01,2017-09-06 00:04:34
224,2015-08-22 03:32:31,2015-08-26 11:16:45
225,2013-03-22 06:37:47,2013-03-25 09:56:39
226,2014-06-05 11:37:49,2014-06-18 22:17:05
227,2012-06-18 12:14:24,2012-06-27 16:30:26
228,2010-11-05 09:08:47,2010-11-14 22:27:07
229,2012-01-27 05:38:53,2012-02-03 12:05:26
230,2013-09-08 06:11:31,2013-09-16 20:49:42
231,2016-03-05 17:37:05,2016-03-10 03:27:30
232,2015-06-07 01:26:45,2015-06-14 08:08:40
233,2020-03-27 14:23:04,2020-04-05 21:26:18
234,2015-11-23 12:16:14,2015-11-26 23:04:57
235,2014-10-28 12:49:13,2014-11-08 19:27:34
236,2014-10-23 06:48:47,2014-10-26 23:27:39
237,2015-01-01 21:26:22,2015-01-05 08:13:08
238,2014-02-24 14:16:18,2014-03-07 05:59:48
239,2020-07-26 18:17:59,2020-08-02 10:14:12
240,2015-11-13 14:12:26,2015-11-27 16:44:09
241,2011-11-01 18:57:59,2011-11-12 20:18:18
242,2017-05-11 23:58:38,2017-05-15 15:16:15
243,2018-12-24 08:35:47,2019-01-03 15:19:46
244,2020-05-02 01:56:28,2020-05-08 14:01:53
245,2013-03-28 04:34:00,2013-04-01 14:21:45
246,2017-01-02 17:56:30,2017-01-11 04:17:28
247,2010-05-05 20:34:11,2010-05-17 01:51:48
248,2020-03-15 06:21:35,2020-03-21 13:14:35
249,2010-09-24 11:39:42,2010-10-07 13:08:07
250,2012-09-27 12:15:23,2012-10-02 01:19:57
251,2019-12-22 20:25:56,2019-12-27 22:09:31
252,2014-01-29 23:12:13,2014-02-06 23:41:12
253,2018-08-17 09:21:05,2018-08-26 01:25:16
254,2016-04-24 22:12:52,2016-05-01 09:08:19
255,2017-05-16 13:24:10,2017-05-24 00:44:27
256,2015-10-23 09:51:42,2015-11-04 22:50:32
257,2014-10-25 02:02:31,2014-11-04 05:53:29
258,2016-01-26 06:41:58,2016-02-08 11:02:06
259,2010-01-08 22:42:07,2010-01-19 23:15:19
260,2014-02-19 04:04:53,2014-02-24 07:40:16
261,2018-12-16 20:11:01,2018-12-31 11:26:41
262,2011-08-31 07:38:29,2011-09-11 10:55:33
263,2013-02-10 04:58:46,2013-02-23 16:07:11
264,2013-06-21 13:01:59,2013-07-03 17:49:52
265,2018-01-16 03:47:09,2018-01-19 10:00:52
266,2012-01-16 20:13:04,2012-01-26 12:15:20
267,2020-02-20 23:19:11,2020-02-27 14:59:18
268,2020-04-09 12:02:33,2020-04-15 00:37:39
269,2020-08-19 10:57:02,2020-08-29 20:12:31
270,2015-08-30 12:53:34,2015-09-05 00:17:52
271,2020-07-10 14:51:27,2020-07-13 18:04:59
272,2012-03-03 13:11:39,2012-03-14 13:44:29
273,2016-08-29 16:00:41,2016-09-03 19:33:06
274,2013-07-14 02:17:51,2013-07-27 04:22:53
275,2010-01-05 01:20:29,2010-01-19 13:01:34
276,2015-10-04 21:37:41,2015-10-18 23:49:05
277,2010-07-22 06:07:05,2010-07-30 22:34:42
278,2011-04-05 09:50:39,2011-04-19 11:36:36
279,2010-05-10 13:07:11,2010-05-18 16:55:52
280,2014-07-14 02:03:29,2014-07-18 11:33:35
281,2018-11-22 09:25:22,2018-11-26 22:47:44
282,2013-05-18 06:32:18,2013-05-21 18:08:20
283,2012-02-11 12:35:30,2012-02-23 02:37:09
284,2015-09-19 07:35:50,2015-09-26 20:24:57
285,2013-08-28 19:33:50,2013-09-07 03:03:19
286,2012-01-11 08:30:45,2012-01-16 19:12:04
287,2018-11-09 15:49:46,2018-11-20 06:51:00
288,2019-04-29 16:34:27,2019-05-13 21:39:42
289,2017-06-24 08:34:32,2017-07-08 15:56:46
290,2011-11-12 19:17:17,2011-11-16 02:33:59
291,2016-06-23 18:18:46,2016-07-04 03:36:30
292,2014-11-30 17:17:54,2014-12-15 09:25:15
293,2011-04-18 06:24:21,2011-04-22 21:04:21
294,2015-03-02 17:01:14,2015-03-06 08:00:55
295,2014-06-18 04:32:18,2014-06-22 15:09:49
296,2018-11-19 03:26:00,2018-11-25 18:26:56
297,2011-07-28 07:38:39,2011-08-11 10:18:27
298,2011-03-10 06:01:15,2011-03-15 12:18:55
299,2017-12-21 01:41:21,2017-12-26 02:35:39
300,2020-06-05 15:13:40,2020-06-20 04:13:21
301,2013-06-27 20:19:10,2013-07-04 06:37:51
302,2010-03-10 10:03:39,2010-03-24 00:51:12
303,2014-05-03 02:45:54,2014-05-07 14:07:19
304,2020-01-13 23:13:32,2020-01-20 12:32:17
305,2012-01-13 12:47:13,2012-01-21 15:11:06
306,2018-12-05 23:52:43,2018-12-14 07:01:25
307,2019-08-25 00:08:17,2019-09-04 14:36:56
308,2014-10-29 12:20:06,2014-11-08 01:12:32
309,2014-03-21 21:58:58,2014-03-26 03:06:18
310,2010-04-21 03:02:20,2010-05-03 16:46:21
311,2016-10-27 20:03:34,2016-11-03 22:14:53
312,2011-11-10 12:49:16,2011-11-15 12:57:03
313,2014-02-06 15:39:38,2014-02-18 02:04:24
314,2011-10-09 01:44:14,2011-10-22 12:45:04
315,2016-07-20 14:03:46,2016-08-01 21:02:57
316,2010-01-24 16:04:34,2010-02-04 20:07:53
317,2015-09-21 21:57:09,2015-09-30 11:23:04
318,2019-12-13 20:54:53,2019-12-19 01:24:50
319,2010-09-18 20:13:54,2010-09-24 09:19:02
320,2017-01-12 08:07:59,2017-01-26 19:39:07
321,2019-03-25 22:32:22,2019-03-31 08:51:11
322,2018-09-16 10:03:13,2018-09-22 14:12:53
323,2016-06-11 13:22:28,2016-06-14 19:02:44
324,2016-01-31 14:49:28,2016-02-12 02:12:55
325,2011-02-25 08:10:50,2011-03-01 00:16:31
326,2016-07-27 03:43:00,2016-08-02 11:47:49
327,2015-06-27 13:18:02,2015-07-05 16:05:11
328,2011-09-07 21:23:26,2011-09-15 23:22:18
329,2018-11-30 22:50:31,2018-12-09 06:00:08
330,2010-02-23 22:06:50,2010-03-09 02:11:05
331,2019-04-09 18:53:58,2019-04-22 05:40:34
332,2018-10-20 12:38:36,2018-11-01 17:42:25
333,2011-12-08 03:42:36,2011-12-15 04:53:30
334,2012-01-15 02:56:01,2012-01-21 06:24:21
335,2010-04-12 05:14:46,2010-04-17 12:34:49
336,2017-05-09 04:35:17,2017-05-18 15:32:44
337,2020-06-20 06:16:40,2020-06-26 22:35:59
338,2018-05-15 16:27:18,2018-05-22 09:07:01
339,2013-06-12 10:16:45,2013-06-23 23:08:02
340,2013-03-29 16:23:20,2013-04-06 07:27:40
341,2011-11-14 07:08:12,2011-11-23 14:35:00
342,2011-07-26 06:38:35,2011-07-30 20:12:03
343,2014-10-11 19:47:33,2014-10-25 11:40:18
344,2013-08-26 20:16:59,2013-08-30 06:06:06
345,2011-11-25 08:04:44,2011-11-30 11:53:57
346,2011-12-04 04:03:51,2011-12-08 16:51:29
347,2017-09-17 03:49:20,2017-09-26 13:24:40
348,2017-10-22 06:03:31,2017-11-03 08:41:01
349,2016-10-24 23:55:14,2016-10-30 11:17:21
350,2020-07-05 17:55:34,2020-07-17 04:25:18
351,2010-08-13 19:22:31,2010-08-23 19:53:44
352,2016-05-22 10:14:45,2016-05-27 10:24:47
353,2017-03-22 12:05:57,2017-03-27 14:24:30
354,2017-08-21 21:15:38,2017-09-05 04:21:09
355,2019-11-09 10:35:22,2019-11-16 14:45:12
356,2013-11-04 08:52:15,2013-11-18 18:00:21
357,2015-08-20 02:45:50,2015-08-29 10:31:27
358,2019-04-10 20:01:37,2019-04-19 01:41:19
359,2011-05-14 08:41:02,2011-05-23 15:43:38
360,2015-04-16 00:15:33,2015-04-30 13:24:21
361,2017-10-20 01:16:35,2017-10-30 11:16:13
362,2010-10-14 10:10:33,2010-10-22 16:06:43
363,2010-08-08 22:59:48,2010-08-14 07:18:36
364,2015-06-29 00:09:31,2015-07-04 06:23:52
365,2011-08-28 07:26:29,2011-08-31 21:51:28
366,2011-06-25 09:42:00,2011-06-28 18:23:17
367,2010-07-20 19:56:31,2010-07-24 08:31:30
368,2020-03-15 15:18:14,2020-03-19 17:13:28
369,2017-08-30 05:01:41,2017-09-11 16:43:59
370,2010-09-26 08:35:20,2010-10-09 23:48:50
371,2010-12-05 13:56:56,2010-12-14 02:00:38
372,2017-08-28 16:02:09,2017-09-01 04:46:59
373,2014-06-02 10:06:53,2014-06-11 18:27:27
374,2010-03-06 13:03:18,2010-03-21 02:39:53
375,2019-09-15 19:38:33,2019-09-29 04:35:45
376,2020-03-30 11:40:44,2020-04-11 16:09:01
377,2010-06-19 08:27:08,2010-06-25 17:23:59
378,2015-05-15 15:08:08,2015-05-18 16:30:42
379,2014-08-01 09:32:58,2014-08-06 11:52:32
380,2010-05-28 18:20:46,2010-06-05 07:29:39
381,2016-09-30 01:01:52,2016-10-12 02:57:18
382,2012-05-22 04:16:25,2012-06-01 19:14:56
383,2015-10-01 03:49:45,2015-10-07 13:27:22
384,2010-07-25 05:17:24,2010-07-29 09:16:51
385,2014-12-05 12:18:39,2014-12-17 21:55:37
386,2017-02-14 20:26:14,2017-02-18 04:08:18
387,2020-01-02 03:18:44,2020-01-16 10:04:02
388,2012-01-05 12:05:00,2012-01-10 14:10:21
389,2013-04-22 05:54:13,2013-04-26 10:43:41
390,2010-09-27 07:42:11,2010-10-05 14:24:39
391,2012-05-05 09:45:09,2012-05-18 18:02:23
392,2019-03-31 05:57:03,2019-04-09 16:29:11
393,2014-01-20 03:46:55,2014-02-02 07:56:02
394,2018-11-22 02:18:39,2018-12-05 07:15:12
395,2016-03-02 21:58:56,2016-03-09 08:22:18
396,2016-04-05 08:51:32,2016-04-13 21:00:51
397,2018-08-31 21:45:31,2018-09-12 10:37:39
398,2015-04-13 08:49:44,2015-04-16 11:14:12
399,2017-01-04 11:12:38,2017-01-17 02:05:18
400,2017-06-22 16:13:35,2017-07-05 01:16:12
401,2015-06-22 11:30:07,2015-07-01 00:30:31
402,2020-01-15 17:24:57,2020-01-26 22:59:10
403,2018-07-11 07:23:10,2018-07-25 13:07:35
404,2013-03-19 15:08:24,2013-03-24 17:26:30
405,2010-06-30 07:15:56,2010-07-06 18:46:25
406,2018-09-08 07:07:14,2018-09-20 07:29:24
407,2019-03-01 23:38:16,2019-03-11 04:01:46
408,2016-03-19 23:56:55,2016-03-26 06:19:30
409,2013-05-22 18:13:39,2013-06-06 00:43:59
410,2018-06-24 10:25:33,2018-06-29 11:04:23
411,2012-03-03 06:52:38,2012-03-06 18:29:22
412,2018-05-26 09:09:52,2018-05-31 01:10:57
413,2017-06-20 02:06:40,2017-06-23 18:37:22
414,2013-11-04 14:44:35,2013-11-13 22:12:18
415,2018-11-22 19:54:10,2018-12-05 02:11:20
416,2019-01-24 11:30:16,2019-02-02 22:29:22
417,2012-03-08 04:05:06,2012-03-11 04:43:27
418,2018-05-14 11:37:29,2018-05-23 22:17:42
419,2013-08-25 16:09:46,2013-09-06 06:10:50
420,2011-03-31 14:40:26,2011-04-07 14:53:32
421,2019-09-01 15:59:46,2019-09-05 04:16:36
422,2017-08-18 18:27:38,2017-09-02 01:36:38
423,2011-03-25 11:46:32,2011-04-01 19:47:43
424,2012-07-07 06:37:18,2012-07-19 10:45:56
425,2014-05-30 22:38:50,2014-06-08 09:11:16
426,2011-02-18 10:38:53,2011-02-22 18:32:34
427,2010-10-08 13:13:34,2010-10-19 05:52:28
428,2013-05-03 19:31:07,2013-05-10 03:47:59
429,2010-02-23 13:23:30,2010-03-02 19:12:36
430,2019-03-16 10:59:59,2019-03-24 12:34:50
431,2013-02-27 14:06:33,2013-03-05 21:14:36
432,2019-07-02 20:22:26,2019-07-08 07:44:51
433,2018-01-19 01:10:43,2018-02-01 07:33:46
434,2018-12-02 18:10:44,2018-12-07 04:25:19
435,2013-05-15 06:47:13,2013-05-29 18:30:28
436,2017-10-09 05:45:56,2017-10-17 12:22:34
437,2015-11-02 01:50:44,2015-11-16 06:55:52
438,2020-03-13 06:40:59,2020-03-26 21:15:14
439,2013-03-28 15:46:20,2013-04-10 02:29:51
440,2019-03-06 23:03:43,2019-03-21 04:44:41
441,2011-01-01 06:44:13,2011-01-13 16:35:44
442,2010-06-01 20:44:14,2010-06-10 20:46:07
443,2017-10-05 15:21:46,2017-10-20 03:01:38
444,2016-11-06 21:16:40,2016-11-17 01:59:05
445,2012-07-27 16:12:21,2012-07-31 18:38:27
446,2019-08-16 13:21:07,2019-08-24 03:56:33
447,2014-07-15 04:41:35,2014-07-29 10:39:49
448,2018-09-26 03:40:10,2018-10-05 20:08:18
449,2010-02-11 05:07:10,2010-02-25 05:13:46
450,2010-09-15 22:40:35,2010-09-21 04:18:09
451,2013-11-15 04:59:28,2013-11-20 20:29:45
452,2011-03-07 06:01:45,2011-03-20 12:44:22
453,2012-02-06 10:45:47,2012-02-20 13:18:35
454,2014-04-07 23:51:01,2014-04-20 00:25:07
455,2018-04-25 23:02:44,2018-04-29 14:54:16
456,2017-01-17 15:19:14,2017-01-27 07:52:20
457,2014-12-30 22:53:45,2015-01-13 02:54:26
458,2013-11-22 19:16:11,2013-11-26 19:34:45
459,2017-10-20 17:10:40,2017-10-24 04:01:31
460,2018-07-24 16:22:16,2018-08-04 07:12:31
461,2016-03-22 10:33:49,2016-04-01 22:22:34
462,2014-01-12 17:51:02,2014-01-19 04:04:17
463,2013-03-16 05:07:13,2013-03-29 09:41:34
464,2012-11-30 15:22:51,2012-12-03 22:22:38
465,2013-11-22 19:56:10,2013-11-30 11:52:32
466,2018-05-10 07:26:44,2018-05-17 12:03:13
467,2019-10-15 02:48:16,2019-10-27 05:28:12
468,2016-04-25 00:57:56,2016-05-05 13:24:58
469,2017-12-02 21:53:43,2017-12-07 05:39:37
470,2012-04-25 16:55:05,2012-05-05 19:29:24
471,2017-01-09 15:34:41,2017-01-14 01:15:43
472,2014-06-24 12:20:44,2014-07-03 13:09:10
473,2019-03-08 20:42:00,2019-03-15 06:15:11
474,2017-10-09 08:30:21,2017-10-13 21:35:02
475,2014-01-15 00:07:33,2014-01-28 13:26:04
476,2011-01-23 22:45:51,2011-01-31 11:30:07
477,2017-12-01 01:18:22,2017-12-13 03:28:49
478,2011-11-10 07:24:18,2011-11-20 11:38:39
479,2019-03-23 17:39:32,2019-03-29 05:38:41
480,2013-01-11 06:50:31,2013-01-20 17:07:37
481,2018-02-04 01:39:36,2018-02-17 03:32:33
482,2011-12-14 00:35:11,2011-12-28 11:48:45
483,2013-03-21 06:11:56,2013-04-03 17:17:42
484,2016-03-09 11:17:10,2016-03-21 14:49:51
485,2015-03-12 04:40:40,2015-03-25 12:30:20
486,2019-07-30 10:13:01,2019-08-09 12:49:02
487,2018-08-07 03:42:20,2018-08-19 05:30:27
488,2018-02-01 03:40:33,2018-02-04 06:22:35
489,2020-07-08 07:29:03,2020-07-16 08:25:06
490,2017-11-08 18:53:28,2017-11-20 04:02:58
491,2018-05-17 15:56:48,2018-05-29 08:35:24
492,2013-05-07 09:42:46,2013-05-16 12:00:58
493,2015-08-30 20:33:33,2015-09-10 22:50:04
494,2016-10-01 12:18:14,2016-10-04 22:21:14
495,2013-01-22 00:00:29,2013-02-03 00:46:38
496,2015-12-18 17:47:51,2015-12-30 06:25:43
497,2015-05-06 08:49:13,2015-05-19 19:26:43
498,2011-09-12 00:41:48,2011-09-20 03:45:25
499,2014-01-09 21:34:34,2014-01-13 11:28:51
